ID,best_alpha,best_l1,df_shape,feature 1,feature 2,feature names,feature nr,meodel_complexity,method,random_state,real_test_mae,real_test_mse,real_train_mae,real_train_mse,test_mae,test_mse,train_mae,train_mse
62,0.18329807108324356,0.01,"(1652, 5)",Lot Config,,Lot Config,1,1,elasticCV,0,55761.44794188862,6128691184.978209,55937.5411622276,6714731156.096852,0.31885836476004553,0.18038636934185773,0.30839078847172663,0.15886632393673744
63,,,"(1652, 3)",Land Slope,,Land Slope,1,1,lr,0,56792.88861985472,6337128019.0,56342.09322033898,6771554787.010896,0.32455937956737824,0.18825732048882507,0.3107125609119947,0.160835578986621
64,,,"(1652, 3)",Land Slope,,Land Slope,1,1,huber,0,56876.68280871671,6475490799.230024,56152.93341404358,6905273440.630751,0.3250518566551344,0.18907676200179557,0.30956074839043835,0.16149808580100547
65,,,"(1652, 3)",Land Slope,,Land Slope,1,1,lr_sgd,0,56741.983050847455,6312564295.479419,56387.37348668281,6754082416.189467,0.32428674524743084,0.18808819868001012,0.31097457729397465,0.1609129460922886
66,885.8667904100823,,"(1652, 3)",Land Slope,,Land Slope,1,1,ridgeCV,0,56684.30750605327,6315002410.3510895,56374.570823244554,6784842905.274213,0.3240110061026452,0.18686252692890373,0.3109050494619717,0.16096040166324602
67,10000.0,,"(1652, 3)",Land Slope,,Land Slope,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
68,0.18329807108324356,0.01,"(1652, 3)",Land Slope,,Land Slope,1,1,elasticCV,0,56718.8401937046,6324397088.176756,56350.01392251816,6778776199.598668,0.3241944366821514,0.18746444848396807,0.31076757310797964,0.1608823686981054
69,,,"(1652, 27)",Neighborhood,,Neighborhood,1,1,lr,0,36308.74818401937,2614571511.251816,35376.04661016949,2934940087.7730026,0.2054035224069762,0.07938891937933865,0.19233416933755965,0.06792629163198992
70,,,"(1652, 27)",Neighborhood,,Neighborhood,1,1,huber,0,36367.96610169492,2636239965.8305087,35149.233050847455,2938566735.6628327,0.2061823959214306,0.081704461655612,0.19093379989364268,0.06852787538728923
71,,,"(1652, 27)",Neighborhood,,Neighborhood,1,1,lr_sgd,0,36441.06537530266,2609402022.038741,35386.196731234864,2940401531.2838984,0.2065520419191563,0.07977442396717353,0.1925090196366968,0.06819788118712537
72,3.79269019073225,,"(1652, 27)",Neighborhood,,Neighborhood,1,1,ridgeCV,0,36322.861985472155,2614376388.1307507,35373.472760290555,2936144205.225787,0.20550415669171712,0.07941918167780766,0.1923083631187966,0.06793313208772504
73,0.1,,"(1652, 27)",Neighborhood,,Neighborhood,1,1,lassoCV,0,54047.14769975787,5651555564.159806,54475.28571428572,6258592061.053268,0.3095901019941451,0.1697848447398849,0.3004528660618688,0.14913619110777623
74,0.1,0.01,"(1652, 27)",Neighborhood,,Neighborhood,1,1,elasticCV,0,36393.9612590799,2665262465.4576273,35619.771791767555,3040534953.0877724,0.20712477341123553,0.08129633941865515,0.19321087391539224,0.06899686870440278
75,,,"(1652, 9)",Condition 1,,Condition 1,1,1,lr,0,56757.106537530264,6195098651.411622,54914.308111380145,6471756599.717313,0.32371067728310254,0.1836582763758233,0.3013827323017493,0.15222672580835733
76,,,"(1652, 9)",Condition 1,,Condition 1,1,1,huber,0,56219.140435835354,6265928743.261501,54686.54479418886,6630875510.910412,0.3208606480833635,0.18200691481592843,0.3001367479877249,0.15311288486521837
77,,,"(1652, 9)",Condition 1,,Condition 1,1,1,lr_sgd,0,56597.7602905569,6161260549.692494,54885.9485472155,6465886932.774213,0.3229174456947187,0.1829537330582318,0.3012852495534984,0.15232212969504988
78,12.742749857031335,,"(1652, 9)",Condition 1,,Condition 1,1,1,ridgeCV,0,56754.57627118644,6195775848.953995,54911.48184019371,6473429375.707022,0.32377868124244213,0.1836766881239689,0.30139102481471725,0.1522331850579251
79,10000.0,,"(1652, 9)",Condition 1,,Condition 1,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
80,0.1,0.01,"(1652, 9)",Condition 1,,Condition 1,1,1,elasticCV,0,56742.19370460048,6200337694.430993,54931.838983050846,6500264468.863196,0.3242625308489835,0.18374753521252052,0.30178601983814807,0.15275615155480174
81,,,"(1652, 7)",Condition 2,,Condition 2,1,1,lr,0,56579.16222760291,6300760191.670702,55727.18765133172,6573776304.117434,0.32323264262984097,0.1841653736669303,0.3082533642005763,0.1583219880418804
82,,,"(1652, 7)",Condition 2,,Condition 2,1,1,huber,0,56664.10411622276,6438485264.244552,55549.310532687654,6711027504.52724,0.32377319043194275,0.18459668164279114,0.3071718263153577,0.15897282078056366
83,,,"(1652, 7)",Condition 2,,Condition 2,1,1,lr_sgd,0,56630.905569007264,6319139876.22276,55754.81900726392,6586202927.648305,0.3235807278352731,0.18456205800282718,0.30844825216369226,0.15842138703948544
84,42.81332398719391,,"(1652, 7)",Condition 2,,Condition 2,1,1,ridgeCV,0,56605.48668280872,6303038833.03632,55733.86259079903,6575497263.125302,0.32342731119384566,0.18430012698488407,0.3083014398696204,0.15833597221976578
85,10000.0,,"(1652, 7)",Condition 2,,Condition 2,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
86,0.18329807108324356,0.01,"(1652, 7)",Condition 2,,Condition 2,1,1,elasticCV,0,56688.53510895884,6310119269.542373,55824.53631961259,6598857889.849879,0.32398781131638404,0.18473761751125092,0.3087327203033827,0.1585752559388303
87,,,"(1652, 5)",Bldg Type,,Bldg Type,1,1,lr,0,54671.96368038741,5965445211.368039,55423.473365617436,6613474861.388619,0.3110489028372688,0.1738482947290193,0.3046586916647276,0.15559373153082434
88,,,"(1652, 5)",Bldg Type,,Bldg Type,1,1,huber,0,54879.72639225182,6119359852.77724,55269.8789346247,6763454919.857142,0.3123034186897982,0.17457301711521017,0.3037462970252066,0.15632281708674298
89,,,"(1652, 5)",Bldg Type,,Bldg Type,1,1,lr_sgd,0,54671.77481840194,5953720650.539951,55454.892857142855,6600282807.919492,0.31106824287622103,0.17400065641066786,0.30485078294408036,0.15562254966125727
90,42.81332398719391,,"(1652, 5)",Bldg Type,,Bldg Type,1,1,ridgeCV,0,54698.9588377724,5970600800.01937,55418.09079903147,6615550132.639225,0.3112427667292408,0.17399365250489074,0.30462908618938833,0.15559786258859779
91,10000.0,,"(1652, 5)",Bldg Type,,Bldg Type,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
92,0.1,0.01,"(1652, 5)",Bldg Type,,Bldg Type,1,1,elasticCV,0,54796.619854721546,5989769084.227603,55410.96428571428,6623483865.677361,0.31192867596938273,0.17455985058648188,0.3046045076983416,0.1556744365376874
93,,,"(1652, 8)",House Style,,House Style,1,1,lr,0,53637.6392251816,5772554190.617434,53316.713075060536,6396811749.061744,0.30535264712855503,0.16909467660496105,0.2916027455582245,0.1494665852074155
94,,,"(1652, 8)",House Style,,House Style,1,1,huber,0,53311.50847457627,5859754075.513317,52999.743341404355,6546834509.55569,0.3032382371822707,0.16810917958504115,0.2896675919850198,0.15062635160569524
95,,,"(1652, 8)",House Style,,House Style,1,1,lr_sgd,0,53842.15012106537,5812326116.949153,53486.10411622276,6385775819.960049,0.3064065971701206,0.1706404040790711,0.29257030669312367,0.14972706520385518
96,6.951927961775605,,"(1652, 8)",House Style,,House Style,1,1,ridgeCV,0,53655.68280871671,5776126133.053268,53314.2088377724,6398819694.929176,0.3054791371817019,0.16917127206410307,0.29159290650019376,0.14946981687328856
97,10000.0,,"(1652, 8)",House Style,,House Style,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
98,0.1,0.01,"(1652, 8)",House Style,,House Style,1,1,elasticCV,0,54068.578692493946,5849383596.016949,53567.650726392254,6451717311.587772,0.3082645126528215,0.17106337250658535,0.2934375374280237,0.15042786636559136
99,,,"(1652, 1)",Overall Qual,,Overall Qual,1,1,lr,0,30477.19612590799,1862202673.25908,31017.27602905569,2021134011.1525424,0.17431317745969035,0.05480812444892327,0.17241348940245652,0.05142248223946509
100,,,"(1652, 1)",Overall Qual,,Overall Qual,1,1,huber,0,30572.52300242131,1859663367.2009685,30997.422518159805,2018807269.622276,0.1750582576890503,0.05541873882148136,0.17203752838259903,0.05153834828698042
101,,,"(1652, 1)",Overall Qual,,Overall Qual,1,1,lr_sgd,0,30516.709443099273,1859231315.794189,30995.512711864405,2008053831.8432202,0.1744509280929351,0.0548298685646802,0.17239132710676752,0.05143334880420496
102,0.33598182862837817,,"(1652, 1)",Overall Qual,,Overall Qual,1,1,ridgeCV,0,30476.80387409201,1862249967.9225183,31017.510895883777,2021374740.7433414,0.17431345367205578,0.05481035740975067,0.17241118387547003,0.051422486805334365
103,0.1,,"(1652, 1)",Overall Qual,,Overall Qual,1,1,lassoCV,0,34112.9612590799,2434201669.9346247,34748.45520581114,2823245239.1477,0.19380430862986445,0.06892734311244023,0.1875987412581267,0.06142248223946509
104,0.1,0.01,"(1652, 1)",Overall Qual,,Overall Qual,1,1,elasticCV,0,30780.242130750605,1937272801.118644,31544.85956416465,2179215206.5920095,0.17643694228413506,0.05685479654480044,0.1734494543214064,0.052373902015748514
105,,,"(1652, 1)",Overall Cond,,Overall Cond,1,1,lr,0,56263.094430992736,6248337769.452785,56211.53329297821,6795953809.162833,0.3214286938201696,0.18428689694320824,0.30985311870945814,0.16159572999859373
106,,,"(1652, 1)",Overall Cond,,Overall Cond,1,1,huber,0,55582.41162227603,6276129136.755448,55725.20581113802,6889959883.234867,0.3167521454261087,0.18387851188664875,0.306585583129849,0.16340501167625782
